product_id,category,brand,product_name,ingredients,product_rating
L1,로션,온그리디언츠,스킨 베리어 카밍 로션 이엑스,"['글리세린', '페닐트라이메티콘', '알지닌', '하이드록시에틸우레아', '하이드록시아세토페논', '황련뿌리추출물', '글리세린', '호호바씨오일', '칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물', '해바라기씨오일', '소듐하이알루로네이트', '하이알루로닉애씨드', '하이드롤라이즈드하이알루로닉애씨드', '세라마이드엔피', '하이드롤라이즈드콜라겐', '소듐하이알루로네이트크로스폴리머', '아세틸글루타민', '보리지추출물', '몰로키아잎추출물', '당근추출물', '마테잎추출물', '마데카소사이드', '판토테닉애씨드', '데실글루코사이드', '아시아티코사이드', '바실러스/소이빈발효추출물', '아시아틱애씨드', '카프릴릴글라이콜', '마데카식애씨드', '폴리글루타믹애씨드', '폴릭애씨드', '병풀추출물', '헥사펩타이드-11', '올리고펩타이드-1', '올리고펩타이드-2', '올리고펩타이드-3', '아세틸헥사펩타이드-8', '귀리펩타이드', '카퍼트라이펩타이드-1', '팔미토일헥사펩타이드-12', '팔미토일펜타펩타이드-4', '팔미토일테트라펩타이드-7', '팔미토일트라이펩타이드-1', '트라이펩타이드-1']",5.0
L2,로션,VT,리들샷 포맨 올인원 100 엠플러스,"['글리세린', '나이아신아마이드', '실리카', '베타인', '하이드록시아세토페논', '암모늄아크릴로일다이메틸타우레이트/브이피코폴리머', '하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머', '알지닌', '소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머', '폴리아이소부텐', '아데노신', '다이소듐이디티에이', '카프릴릴/카프릴글루코사이드', '달맞이꽃꽃추출물', '당느릅나무뿌리추출물', '대왕소나무잎추출물', '칡뿌리추출물', '병풀추출물', '소듐하이알루로네이트', '판토테닉애씨드', '알로에베라잎추출물', '레몬밤잎추출물', '살비아잎추출물', '소나무잎추출물', '연꽃잎추출물', '편백잎추출물', '마데카소사이드', '마데카식애씨드', '아시아티코사이드', '아시아틱애씨드', '프로폴리스추출물', '아세틸옥타펩타이드-3', '아세틸헥사펩타이드-8', '카퍼트라이펩타이드-1', '트라이펩타이드-1', '트라이펩타이드-2', '트라이펩타이드-3', '팔미토일테트라펩타이드-7', '팔미토일트라이펩타이드-1', '팔미토일펜타펩타이드-4']",5.0
L4,로션,에스트라,아토베리어365 로션,"['글리세린', '스쿠알란', '펜타에리스리틸테트라아이소스테아레이트', '베타인', '하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머', '하이드록시프로필비스팔미타마이드엠이에이', '나이아신아마이드', '다이메티콘올', '하이드록시프로필비스라우라마이드엠이에이', '다이소듐이디티에이', '글리세린', '피토스핑고신', '만니톨', '세라마이드엔피', '토코페롤', '아크릴레이트/암모늄메타크릴레이트코폴리머', '실리카', '스핑고리피드', '아라키딕애씨드']",4.9
L5,로션,아이오페,맨 올데이 퍼펙트 올인원,"['글리세린', '베타인', '나이아신아마이드', '실리카', '다이메티콘올', '향료', '토코페롤', '글리세린', '멘톡시프로판다이올', '아데노신', '덱스트린', '다이소듐이디티에이', '페퍼민트추출물', '바이오사카라이드검-1', '맥주효모추출물', '미리스틱애씨드', '라우릭애씨드']",4.9
L6,로션,아이디얼포맨,퍼펙트 올인원,"['글리세린', '에틸헥실스테아레이트', '나이아신아마이드', '베타인', '다시마추출물', '한련초잎추출물', '콜라겐추출물', '소듐하이알루로네이트', '알지닌', '글리세린', '소듐스테아로일글루타메이트', '아데노신', '스키조사카로미세스발효여과물', '다이소듐이디티에이', '프룩토올리고사카라이드', '베타-글루칸', '하이드롤라이즈드하이알루로닉애씨드', '레티놀', '에이치디아이/트라이메틸올헥실락톤크로스폴리머', '하이드롤라이즈드엘라스틴', '토코페롤', '카프릴릴글라이콜', '아세틸테트라펩타이드-5', '향료']",4.9
L8,로션,닥터지,레드 블레미쉬 포 맨 진정 올인원,"['나이아신아마이드', '카프릴릴메티콘', '글리세린', '하이드로제네이티드폴리', 'C14-22알코올', '다이메티콘/비닐다이메티콘크로스폴리머', '소듐폴리아크릴로일다이메틸타우레이트', '암모늄아크릴로일다이메틸타우레이트/브이피코폴리머', '소듐하이알루로네이트', '아데노신', '병풀추출물', '호장근뿌리추출물', '황금추출물', '다이소듐이디티에이', '스페인감초뿌리추출물', '로즈마리잎추출물', '마트리카리아꽃추출물', '글루코노락톤', '마데카소사이드', '말토덱스트린', '세라마이드엔피', '화이트티트리잎추출물', '스키산드라 스페난테라열매추출물', '아보카도열매추출물', '아시아티코사이드', '마데카식애씨드', '아시아틱애씨드', '다시마추출물', '당느릅나무뿌리추출물', '알로에베라잎추출물', '제비꽃꽃추출물', '참마뿌리추출물']",4.9
L9,로션,아벤느,트릭세라 뉴트리 플루이드 로션 더블 윤광 광채 크림,"['온천수', '글리세린', '사이클로메치콘', '달맞이꽃오일', '피이지-100스테아레이트', '미레스-3미리스테이트', '폴리아크릴레이트-13', '비에이치티', '디소듐이디티에이', '글라이신', '펜틸람노사이드', '폴리이소부텐']",4.8
L10,로션,라운드랩,포 맨 1025 독도 올인원 젤로션,"['베타인', '달맞이꽃꽃추출물', '대왕소나무잎추출물', '칡뿌리추출물', '당느릅나무뿌리추출물', '병풀잎추출물', '오카무라큰실말추출물', '흰버드나무껍질추출물', '커피콩추출물', '베르가모트잎추출물', '소나무잎추출물', '소듐하이알루로네이트', '하이드롤라이즈드하이알루로닉애씨드', '소듐아세틸레이티드하이알루로네이트', '글리세린', '글리세린', '알란토인', '데실글루코사이드', '카프릴로일살리실릭애씨드', '글루코노락톤', '글리세릴글루코사이드', '실리카', '암모늄아크릴로일다이메틸타우레이트/브이피코폴리머', '하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머', '알지닌', '베르가모트오일', '살비아오일', '다이소듐이디티에이']",4.9
L11,로션,한율,어린쑥 수분진정 플루이드,"['글리세린', '황해쑥잎수', '피씨에이다이메티콘', '천궁수', '왜당귀뿌리수', '실리카', '폴리메틸실세스퀴옥세인', '암모늄아크릴로일다이메틸타우레이트/브이피코폴리머', '향료', '글리세린', '다이소듐이디티에이', '락토바실러스발효물', '황해쑥잎추출물', '병풀꽃/잎/줄기추출물', '토코페롤']",4.8
L13,로션,우르오스,올인원 스킨밀크,"['글리세린', '하이드로제네이티드폴리', '아데노신포스페이트', '하이드록시프로필사이클로덱스트린', '소듐락테이트', '사철쑥꽃추출물', '스타아니스열매/씨오일', '서양측백나무잎오일', '아틀라스시다나무껍질오일', '라반딘오일', '라임전초오일', '구주소나무잎오일', '로즈마리잎오일', '터펜틴', '리날룰']",4.8
